song,1,2,3,4
Baby Be Mine,1.0,,5.0,3.0
Beat It,15.0,8.0,54.0,47.0
Billie Jean,21.0,16.0,98.0,72.0
Human Nature,8.0,9.0,60.0,47.0
P.Y.T. (Pretty Young Thing),2.0,1.0,15.0,12.0
The Girl is Mine,5.0,2.0,16.0,8.0
The Lady in My Life,4.0,3.0,14.0,6.0
Thriller,6.0,12.0,61.0,51.0
Wanna Be Startin' Somethin',4.0,4.0,13.0,17.0
