song,1,2,3,4
Be Good Johnny,1.0,,2.0,1.0
Down by the Sea,1.0,,1.0,
I Can See It in Your Eyes,1.0,1.0,1.0,
Underground,1.0,,1.0,
Who Can It Be Now?,3.0,1.0,7.0,16.0
