song,1,2,3,4
All Night Long (All Night),11.0,9.0,16.0,20.0
Hello,57.0,26.0,37.0,23.0
Love Will Find a Way,3.0,2.0,,
Penny Lover,4.0,2.0,2.0,1.0
Running with the Night,3.0,2.0,,
Stuck on You,7.0,4.0,13.0,10.0
The Only One,1.0,,,2.0
